
5,5.5,0,
7.5,11,2,
12.5,12.5,0,
14.5,14.5,0,
15.5,15.5,0,
17,17.5,0,
17.5,18,0,
19,23,0,
24.5,24.5,0,
26,26.5,0,
26.5,27,0,
28.5,31.5,1,
33,33.5,0,
35,35.5,0,
37,40.5,2,
42.5,43.5,4,
44,45.5,3,
46,47,1,
48,48.5,2,
50,50.5,4,
52.5,55.5,0,
55.5,56,0,
56.5,56.5,0,
58.5,58.5,0,
58.5,59,4,
60,64.5,1,
65.5,66.5,2,
67,67.5,4,
68.5,68.5,3,
70.5,70.5,0,
72.5,76.5,3,
78.5,78.5,0,
79,79.5,0,
80,80.5,0,
81,81.5,0,
82.5,82.5,0,
83,83.5,0,
84.5,84.5,0,
85,85,0,
85,85.5,0,
86.5,86.5,0,
86.5,87,0,
87.5,87.5,0,
88.5,88.5,0,
89.5,89.5,0,
