3840,40,0
3864,40.25,0
4224,44,1
4248,44.25,1
4608,48,0
4632,48.25,0
4992,52,1
5016,52.25,1
5376,56,2
5400,56.25,2
5568,58,3
5592,58.25,3
5760,60,2
5784,60.25,2
5952,62,0
5976,62.25,0
6144,64,0
6168,64.25,0
6528,68,1
6552,68.25,1
6720,70,1
6744,70.25,1
6912,72,3
6960,72.5,3
6960,72.5,3
7008,73,3
7200,75,2
7248,75.5,2
7296,76,2
7344,76.5,2
7488,78,0
7536,78.5,0
7584,79,1
7632,79.5,1
7680,80,0
7728,80.5,0
7728,80.5,1
7776,81,1
7968,83,2
8016,83.5,2
8064,84,3
8112,84.5,3
8256,86,2
8304,86.5,2
8352,87,0
8400,87.5,0
8448,88,0
8496,88.5,0
8592,89.5,1
8640,90,1
8640,90,1
8688,90.5,1
8832,92,3
8880,92.5,3
8880,92.5,3
8928,93,3
8976,93.5,2
9024,94,2
9216,96,2
9264,96.5,2
9408,98,0
9456,98.5,0
9600,100,1
9648,100.5,1
9696,101,0
9744,101.5,0
9792,102,1
9840,102.5,1
9888,103,2
9936,103.5,2
9984,104,3
10032,104.5,3
10032,104.5,2
10080,105,2
10272,107,0
10320,107.5,0
10368,108,0
10416,108.5,0
10560,110,1
10608,110.5,1
10656,111,1
10704,111.5,1
10752,112,3
10800,112.5,3
10800,112.5,3
10848,113,3
11040,115,2
11088,115.5,2
11136,116,2
11184,116.5,2
11328,118,0
11376,118.5,0
11424,119,1
11472,119.5,1
11520,120,0
11568,120.5,0
11664,121.5,1
11712,122,1
11712,122,2
11760,122.5,2
11904,124,3
11952,124.5,3
11952,124.5,2
12000,125,2
12048,125.5,0
12096,126,0
12288,128,0
12336,128.5,0
12480,130,1
12528,130.5,1
12672,132,1
12720,132.5,1
12768,133,3
12816,133.5,3
12864,134,3
12912,134.5,3
12960,135,2
13008,135.5,2
13056,136,2
13104,136.5,2
13104,136.5,0
13152,137,0
13344,139,1
13392,139.5,1
13440,140,0
13488,140.5,0
13632,142,1
13680,142.5,1
13728,143,2
13776,143.5,2
13824,144,3
13872,144.5,3
13872,144.5,2
13920,145,2
14112,147,0
14160,147.5,0
14208,148,0
14256,148.5,0
14400,150,1
14448,150.5,1
14496,151,1
